Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_list_price,Item_sale_price,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,average_product_rating,total_number_reviews,Scaled_Reviews,Comments,Item_Outlet_Sales,,,,New Metrics Track
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.7 out of 5,12,1200,"Amazing product at this price,not compleing at this price",3735.138,,,,
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.7 out of 5,12,1200,sucks,443.4228,,,,"(Total_number_reviews,Item_identifier, Item_outlet_sales )"
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.7 out of 5,12,1200,,2097.27,,,,"(total_number_reviews, Outlet_identifer, item_outlet_sales)"
FDX07,19.2,Regular,0,Fruits and Vegetables,182.095,182.095,OUT010,1998,,Tier 3,Grocery Store,4.7 out of 5,12,1200,,732.38,,,,"(Outlet_size, Outlet_identifier, Item_outlet_sales)"
NCD19,8.93,Low Fat,0,Household,53.8614,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,4.7 out of 5,12,1200,,994.7052,,,,"(Item_identifier,list_price,sale_price,item_outlet_sale)"
FDP36,10.395,Regular,0,Baking Goods,51.4008,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,4.7 out of 5,12,1200,,556.6088,,,,"(item_identifier,sale_price, average_product_rating, outlet_sales)"
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,4,400,,343.5528,,,,"(item_identifier,outlet_identifier,scaled_review,Outlet_sale)"
FDP10,,Low Fat,0.127469857,Snack Foods,107.7622,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,3 out of 5,,0,,4022.7636,,,,
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,96.9726,OUT045,2002,,Tier 2,Supermarket Type1,5 out of 5,2,200,,1076.5986,,,,
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,187.8214,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,2,200,,4710.535,,,,
FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5402,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,5 out of 5,2,200,,1516.0266,,,,
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,4.6 out of 5,5,500,,2187.153,,,,
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,4.6 out of 5,5,500,,1589.2646,,,,
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,4.6 out of 5,5,500,,2145.2076,,,,
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,4.6 out of 5,5,500,,1977.426,,,,
FDP49,9,Regular,0.069088961,Breakfast,56.3614,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,,,0,,1547.3192,,,,
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,,,0,,1621.8888,,,,
FDP49,9,Regular,0.069196376,Breakfast,54.3614,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,,,0,,718.3982,,,,
DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,2303.668,,,,
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,2748.4224,,,,
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,,,0,,3775.086,,,,
FDW12,,Regular,0.035399923,Baking Goods,144.5444,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,,,0,,4064.0432,,,,
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,,,0,,1587.2672,,,,
FDC37,,Low Fat,0.057556998,Baking Goods,107.6938,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,,,0,,214.3876,,,,
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,5 out of 5,2,200,,4078.025,,,,
NCD06,13,Low Fat,0.099887103,Household,45.906,45.906,OUT017,2007,,Tier 2,Supermarket Type1,5 out of 5,2,200,,838.908,,,,
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,5 out of 5,2,200,,1065.28,,,,
DRJ59,11.65,low fat,0.019356132,Hard Drinks,39.1164,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,5 out of 5,2,200,,308.9312,,,,
